Subject,Start Time,End Time,Summary,Description,Location,Schedule type
CL Chemistry,8:15 AM,9:30 AM,CL Chemistry,,W217,A
Angles in Writing,10:30 AM,11:45 AM,Angles in Writing,,S314,A
CL Economics,12:35 PM,1:50 PM,CL Economics,,S318,A
Digital Fabrication Capstone,2:00 PM,3:15 PM,Digital Fabrication Capstone,,WIC,A
B-1 Free Period,8:15 AM,9:30 AM,B-1 Free Period,,,B
CL Multivariable Calculus,10:30 AM,11:45 AM,CL Multivariable Calculus,,W112,B
CL Physics,12:35 PM,1:50 PM,CL Physics,,W112,B
CL Chemistry,2:00 PM,3:15 PM,CL Chemistry,,W217,B
Angles in Writing,8:15 AM,9:30 AM,Angles in Writing,,S314,C
CL Economics,10:30 AM,11:45 AM,CL Economics,,S318,C
Digital Fabrication Capstone,12:35 PM,1:50 PM,Digital Fabrication Capstone,,WIC,C
C-4 Free Period,2:00 PM,3:15 PM,C-4 Free Period,,,C
CL Multivariable Calculus,8:15 AM,9:30 AM,CL Multivariable Calculus,,W112,D
CL Physics,10:30 AM,11:45 AM,CL Physics,,W112,D
CL Chemistry,12:35 PM,1:50 PM,CL Chemistry,,W217,D
Angles in Writing,2:00 PM,3:15 PM,Angles in Writing,,S314,D
CL Economics,8:15 AM,9:30 AM,CL Economics,,S318,E
Digital Fabrication Capstone,10:30 AM,11:45 AM,Digital Fabrication Capstone,,WIC,E
E-3 Free Period,12:35 PM,1:50 PM,E-3 Free Period,,,E
CL Multivariable Calculus,2:00 PM,3:15 PM,CL Multivariable Calculus,,W112,E
CL Physics,8:15 AM,9:30 AM,CL Physics,,W112,F
CL Chemistry,10:30 AM,11:45 AM,CL Chemistry,,W112,F
Angles in Writing,12:35 PM,1:50 PM,Angles in Writing,,S314,F
CL Economics,2:00 PM,3:15 PM,CL Economics,,S318,F
Digital Fabrication Capstone,8:15 AM,9:30 AM,Digital Fabrication Capstone,,WIC,G
G-2 Free Period,10:30 AM,11:45 AM,G-2 Free Period,,,G
CL Multivariable Calculus,12:35 PM,1:50 PM,CL Multivariable Calculus,,W112,G
CL Physics,2:00 PM,3:15 PM,CL Physics,,W112,G
